Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,Pacific island small states,PSS,2385286558,3448222601,9290027187,9082590663,9532201526,10290482444,10791457053,10729092905,9505064736,9493809707,10316299127,11232231820
GDP (current US$),NY.GDP.MKTP.CD,Post-demographic dividend,PST,1.84362E+13,2.63988E+13,4.72073E+13,4.46698E+13,4.56934E+13,4.76671E+13,5.05043E+13,5.10188E+13,5.00049E+13,5.55888E+13,5.65642E+13,5.98518E+13
GDP (current US$),NY.GDP.MKTP.CD,Pre-demographic dividend,PRE,4.11261E+11,2.82743E+11,1.53554E+12,1.30583E+12,1.16317E+12,1.21461E+12,1.35336E+12,1.42716E+12,1.30958E+12,1.43582E+12,1.63959E+12,1.56253E+12
GDP (current US$),NY.GDP.MKTP.CD,Small states,SST,44747769952,76825026680,2.10645E+11,1.95343E+11,2.02184E+11,2.2219E+11,2.40867E+11,2.43792E+11,2.19068E+11,2.54207E+11,2.81851E+11,2.98978E+11
GDP (current US$),NY.GDP.MKTP.CD,South Asia,SAS,4.06963E+11,6.47682E+11,2.61492E+12,2.73362E+12,3.01104E+12,3.43392E+12,3.53407E+12,3.65821E+12,3.49312E+12,4.07988E+12,4.32729E+12,4.47557E+12
GDP (current US$),NY.GDP.MKTP.CD,South Asia (IDA & IBRD),TSA,4.06963E+11,6.47682E+11,2.61492E+12,2.73362E+12,3.01104E+12,3.43392E+12,3.53407E+12,3.65821E+12,3.49312E+12,4.07988E+12,4.32729E+12,4.47557E+12
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa,SSF,3.73699E+11,4.28346E+11,1.87428E+12,1.66866E+12,1.52201E+12,1.62586E+12,1.78091E+12,1.83046E+12,1.71622E+12,1.93277E+12,2.0611E+12,2.03275E+12
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa (excluding high income),SSA,3.7331E+11,4.27688E+11,1.87289E+12,1.66723E+12,1.52044E+12,1.62418E+12,1.77912E+12,1.82859E+12,1.71484E+12,1.93128E+12,2.05904E+12,2.03061E+12
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,3.73699E+11,4.28346E+11,1.87428E+12,1.66866E+12,1.52201E+12,1.62586E+12,1.78091E+12,1.83046E+12,1.71622E+12,1.93277E+12,2.0611E+12,2.03275E+12
GDP (current US$),NY.GDP.MKTP.CD,Upper middle income,UMC,2.33419E+12,4.37232E+12,2.05903E+13,1.9828E+13,1.9905E+13,2.18373E+13,2.33043E+13,2.37004E+13,2.29699E+13,2.7373E+13,2.85676E+13,2.94037E+13
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,
